scenario_idx,votings,majority
0,5,generic
1,[4 1],generic
2,5,generic
3,[4 1],generic
4,5,generic
5,5,generic
6,5,generic
7,5,generic
8,[4 1],generic
9,[4 1],generic
10,5,generic
11,[4 1],generic
12,5,generic
13,[4 1],generic
14,5,generic
15,5,generic
16,5,generic
17,5,generic
18,[4 1],generic
19,[4 1],generic
20,5,generic
21,5,generic
22,[4 1],generic
23,5,generic
24,5,generic
25,5,generic
26,5,generic
27,[4 1],generic
28,[4 1],generic
29,[4 1],generic
30,5,generic
31,5,generic
32,5,generic
33,5,generic
34,5,generic
35,[4 1],generic
36,5,generic
37,5,generic
38,5,generic
39,[4 1],generic
40,5,generic
41,5,generic
42,[3 2],generic
43,[3 2],generic
44,5,generic
45,[4 1],generic
46,5,generic
47,5,generic
48,5,generic
49,5,generic
50,[4 1],generic
51,5,generic
52,[4 1],generic
53,5,generic
54,5,generic
55,5,generic
56,[3 2],generic
57,5,generic
58,5,generic
59,[4 1],generic
60,5,generic
61,5,generic
62,5,generic
63,[4 1],generic
64,5,generic
65,[4 1],generic
66,5,generic
67,[4 1],generic
68,[4 1],generic
69,5,generic
70,5,generic
71,5,generic
72,[4 1],generic
73,[3 2],generic
74,5,generic
75,5,generic
76,5,generic
77,5,generic
78,5,generic
79,5,generic
80,[4 1],generic
81,5,generic
82,5,generic
83,5,generic
84,5,generic
85,[3 2],generic
86,[4 1],generic
87,5,generic
88,[4 1],generic
89,5,generic
90,5,generic
91,[3 2],generic
92,[3 2],generic
93,5,generic
94,5,generic
95,[3 2],revealing
96,[4 1],generic
97,[3 2],generic
98,[4 1],generic
99,[4 1],generic
100,5,generic
101,5,generic
102,5,generic
103,[4 1],generic
104,5,generic
105,5,generic
106,5,generic
107,[4 1],generic
108,5,generic
109,5,generic
110,5,generic
111,[3 2],generic
112,[3 2],generic
113,[4 1],generic
114,[4 1],generic
115,5,generic
116,[3 2],generic
117,5,generic
118,[4 1],generic
119,5,generic
120,5,generic
121,[4 1],generic
122,5,generic
123,[4 1],generic
124,5,generic
125,5,generic
126,5,generic
127,5,generic
128,5,generic
129,5,generic
130,5,generic
131,5,generic
132,5,generic
133,5,generic
134,5,generic
135,[4 1],generic
136,5,generic
137,[4 1],generic
138,[4 1],generic
139,5,generic
140,5,generic
141,[3 2],generic
142,5,generic
143,5,generic
144,5,generic
145,5,generic
146,5,generic
147,5,generic
148,5,generic
149,[3 2],generic
150,5,generic
151,5,generic
152,5,generic
153,5,generic
154,[4 1],generic
155,5,generic
156,5,generic
157,5,generic
158,[3 2],revealing
159,5,generic
160,5,generic
161,5,generic
162,[4 1],generic
163,[3 2],generic
164,5,generic
165,5,generic
166,5,generic
167,5,generic
168,[3 2],generic
169,5,generic
170,5,generic
171,[3 2],revealing
172,5,generic
173,5,generic
174,5,generic
175,5,generic
176,5,generic
177,[3 2],generic
178,5,generic
179,[3 2],generic
180,[3 2],revealing
181,[4 1],generic
182,[4 1],generic
183,[4 1],generic
184,5,generic
185,5,generic
186,5,generic
187,[3 2],revealing
188,[4 1],generic
189,5,generic
190,5,generic
191,5,generic
192,[3 2],generic
193,5,generic
194,[4 1],generic
195,5,generic
196,5,generic
197,[3 2],revealing
198,[4 1],generic
199,5,generic
200,[4 1],generic
201,[4 1],generic
202,[4 1],generic
203,[3 2],generic
204,[4 1],generic
205,[4 1],generic
206,5,generic
207,[3 2],revealing
208,[3 2],revealing
209,[4 1],generic
210,5,generic
211,[4 1],generic
212,5,generic
213,[4 1],generic
214,[4 1],generic
215,[4 1],generic
216,5,generic
217,5,generic
218,[4 1],generic
219,5,generic
220,5,generic
221,5,generic
222,[4 1],generic
223,5,generic
224,[3 2],generic
225,[3 2],generic
226,[4 1],generic
227,[4 1],generic
228,5,generic
229,5,generic
230,5,generic
231,[4 1],generic
232,5,generic
233,[4 1],generic
234,[4 1],generic
235,5,generic
236,5,generic
237,5,generic
238,[4 1],generic
239,[4 1],generic
240,5,generic
241,5,generic
242,5,generic
243,[4 1],generic
244,[4 1],generic
245,[3 2],generic
246,5,generic
247,5,generic
248,5,generic
249,[3 2],generic
250,5,generic
251,5,generic
252,[3 2],generic
253,5,generic
254,[4 1],generic
255,[3 2],generic
256,5,generic
257,5,generic
258,5,generic
259,5,generic
260,[4 1],generic
261,5,generic
262,5,generic
263,[4 1],generic
264,5,generic
265,[4 1],generic
266,[4 1],generic
267,[3 2],revealing
268,5,generic
269,5,generic
